Old Ticker,New Ticker,Search Term,Memo Title,Effective Date,Post Date,Classification
MCC,PFX,MCC PFX,"ADJUSTED MEDLEY CAPITAL CORPORATION - NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: 1/4/21 - MCC1 remains MCC1 1/5/21 - MCC1 becomes PFX1
Contract Adjustment|Options",01/05/2021,01/04/2021,Adjustment
DMYT,RSI,DMYT RSI,"DMY TECHNOLOGY GROUP, INC. - NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: DMYT NEW SYMBOL: RSI
Contract Adjustment|Options",12/30/2020,12/29/2020,Adjustment
LCA,GNOG,LCA GNOG,"LANDCADIA HOLDINGS II, INC. - NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: LCA NEW SYMBOL: GNOG
Contract Adjustment|Options",12/30/2020,12/29/2020,Adjustment
RMG,RMO,RMG RMO,"RMG ACQUISITION CORPORATION - NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: RMG NEW SYMBOL: RMO
Contract Adjustment|Options",12/30/2020,12/29/2020,Adjustment
HCFT,LFT,HCFT LFT,"HUNT COMPANIES FINANCE TRUST, INC. - NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: HCFT NEW SYMBOL: LFT
Contract Adjustment|Options",12/28/2020,12/24/2020,Adjustment
PTI,YMTX,PTI YMTX,"PROTEOSTASIS THERAPEUTICS, INC. - REVERSE SPLIT AND NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: PTI NEW SYMBOL: YMTX
Contract Adjustment|Options",12/23/2020,12/22/2020,Adjustment
KTOV,PPBT,KTOV PPBT,"KITOV PHARMA LTD. - NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: KTOV NEW SYMBOL: PPBT
Contract Adjustment|Options",12/22/2020,12/21/2020,Adjustment
HCAC,GOEV,HCAC GOEV,"HENNESSY CAPITAL ACQUISITION CORPORATION IV - NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: HCAC NEW SYMBOL: GOEV
Contract Adjustment|Options",12/22/2020,12/21/2020,Adjustment
PIC,XL,PIC XL,"PIVOTAL INVESTMENT CORPORATION II - NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: PIC NEW SYMBOL: XL
Contract Adjustment|Options",12/22/2020,12/21/2020,Adjustment
IPOB,OPEN,IPOB OPEN,"SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORPORATION II - NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: IPOB NEW SYMBOL: OPEN
Contract Adjustment|Options",12/21/2020,12/18/2020,Adjustment
